Date,Time,location,Latitude,long,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
7/12/1912,6:30,Atlantic City,39.3606,-74.4319,Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
8/6/1913,,Victoria,48.4275,-123.3673,Private,-,,Curtiss seaplane,,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
9/9/1913,18:30,North Sea,40.940556,-72.4031,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
3/5/1915,1:00,Tienen,50.8055,4.9394,Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
9/24/1916,1:00,Billericay,51.6301,0.4212,Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,0,Shot down by British aircraft crashing in flames.
10/1/1916,23:45,Potters Bar,51.6923,-0.1787,Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11/21/1916,,Mainz,50,8.2667,Military - German Army,,,Super Zeppelin (airship),,,28,27,0,Crashed in a storm.
12/16/1918,,Elizabeth,40.6619,-74.2117,US Aerial Mail Service,,,De Havilland DH-4,97,,1,1,0,
5/25/1919,,Cleveland,41.4822,-81.6697,US Aerial Mail Service,,,De Havilland DH-4,61,,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
7/19/1919,,Mix Run,41.3398,-78.1966,US Aerial Mail Service,,,De Havilland DH-4,82,,1,1,0,
10/2/1919,,Newcastle upon Tyne,54.9667,-1.6,Aircraft Transport and Travel,,,De Havilland DH-4,,,1,1,0,
10/14/1919,,Catonsville,39.2739,-76.7381,US Aerial Mail Service,,,Curtiss R-4LM,32,,1,1,0,
10/30/1919,,Long Valley,40.7823,-74.7769,US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,
3/10/1920,,New Paris,41.5,-85.8333,US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,
3/30/1920,,Newark,40.7242,-74.1726,US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,
4/10/1920,,Newark,40.7242,-74.1726,US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,0,
5/12/1920,,Oskaloosa,41.2962,-92.645,US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,0,
6/6/1920,,Cleveland,41.4822,-81.6697,US Aerial Mail Service,,,De Havilland DH-4,204,,1,1,0,
8/16/1920,,Bedford,52.1337,-0.4577,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,1,0,
8/16/1920,,College Park,38.9872,-76.946,US Aerial Mail Service,,,De Havilland DH-4,317,,1,1,0,
9/1/1920,,Morristown,40.7966,-74.4773,US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,
9/15/1920,,Pemberville,41.4114,-83.4586,US Aerial Mail Service,,,Junkers F-13,308,,2,2,0,
9/27/1920,,Millersburg,40.5417,-76.9572,US Aerial Mail Service,,,De Havilland DH-4,316,,1,1,0,
10/5/1920,,Valencia,39.4702,-0.3768,Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,2,0,Crashed while landing.
10/15/1920,,Batavia,41.8489,-88.3083,US Aerial Mail Service,,,De Havilland DH-4,76,,1,1,0,
11/7/1920,,Tie Siding,41.0801,-105.5078,US Aerial Mail Service,,,De Havilland DH-4,,178,1,1,0,
12/14/1920,,London Borough of Barnet,51.6254,-0.1527,Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8,4,0,Crashed into a tree on take off in fog.
12/24/1920,,Barcelona,41.3879,2.1699,Aeropostale,,,Breguet 14,F-ALBO,,1,1,0,
2/3/1921,,Mendota,44.8872,-93.1644,US Aerial Mail Service,,,De Havilland DH-4,130,,1,1,0,
2/9/1921,,La Crosse,43.8088,-91.2519,US Aerial Mail Service,,,Junkers F-13,301,,3,3,0,
2/22/1921,,Elko,40.8333,-115.7667,US Aerial Mail Service,,,De Havilland DH-4,67,,1,1,0,
4/6/1921,,Point Cook,-37.9086,144.752,Military - Royal Australian Air Force,,,,H3021,,2,1,0,
4/29/1921,,Cleveland,41.4822,-81.6697,US Aerial Mail Service,,,De Havilland DH-4,196,,1,1,0,
5/17/1921,,Rock Springs,41.5908,-109.2225,US Aerial Mail Service,,,,176,,1,1,0,
8/14/1921,,Toulouse,43.6039,1.4445,Aeropostale,,,Breguet 14,F-ALBI,,2,2,0,
9/6/1921,,Paris,48.8569,2.3508,Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris.
1/14/1922,,Paris,48.8569,2.3508,Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,5,5,Crashed at Le Bourget field.
4/7/1922,,"Grandvilliers, Oise",49.6652,1.9411,Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,7,0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
4/8/1922,,Baoding,38.8667,115.4667,,,,,,,17,17,0,All seventeen aboard were Chinese nationals.
7/26/1922,,Cádiz,36.5333,-6.2833,Grands Express Aeriens,,,Breguet 14,,,3,3,0,
9/7/1922,,Indianapolis,39.791,-86.148,US Aerial Mail Service,,,De Havilland DH-4,227,,1,1,0,
10/2/1922,,Venice,45.4346,12.3389,,,,de Havilland DH-9,G-EAYT,,4,4,0,
10/25/1922,,Larache,35.1833,-6.15,Grands Express Aeriens,,,Breguet 14,,,2,2,0,
12/3/1922,,Fes,34.0598,-4.9653,Grands Express Aeriens,,,Breguet 14,,,1,1,0,
1/10/1923,,Ajaccio,41.9267,8.7369,Amee de l'Air,,,LiorÃ©-et-Olivier H-13,F-AEIB,,4,3,0,
1/17/1923,,Barcelona,41.3879,2.1699,Grands Express Aeriens,,,Breguet 14,F-ALJU,,1,1,0,
1/18/1923,,Cheyenne,41.1402,-104.8188,US Aerial Mail Service,,,De Havilland DH-4,223,,1,1,0,
2/26/1923,,Meadville,41.65,-80.15,US Aerial Mail Service,,,De Havilland DH-4,291,,1,1,0,
5/14/1923,,Monsures,49.71,2.1719,Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6,6,0,
9/7/1923,,Colton,41.4642,-83.9526,US Aerial Mail Service,,,De Havilland DH-4,283,,1,1,0,
12/6/1923,,Castalia,41.4009,-82.8086,US Aerial Mail Service,,,De Havilland DH-4,318,,1,1,0,
12/24/1923,,Essa,44.25,-79.7833,US Aerial Mail Service,,,De Havilland DH-4,315,,1,1,0,
3/7/1924,,Grampian,40.9653,-78.6114,US Aerial Mail Service,,,De Havilland DH-4,327,,1,1,0,
6/8/1924,,Barranquilla,10.9639,-74.7964,SCADTA,,,Junkers F-13,A16,,3,3,0,
11/6/1924,,Cabrerolles,43.5444,3.1252,Grands Express Aeriens,,,,F-AFBD,,1,1,0,
