Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
7/12/1912,6:30,"AtlantiCity, New Jersey",39.3606,-74.4319,Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
8/6/1913,,"Victoria, British Columbia, Canada",48.4275,-123.3673,Private,-,,Curtiss seaplane,,,1,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
9/9/1913,18:30,Over the North Sea,40.9406,-72.4031,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
10/17/1913,10:30,"Johannisthal, Germany",52.4363,13.5501,Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
3/5/1915,1:00,"Montieri, Italy",43.1167,11.0167,Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7/28/1916,,"Coventry, Warks, England",52.4081,-1.5106,Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,0,"Crashed near the Black Sea, cause unknown."
9/24/1916,1:00,"Lodz, Poland",51.7591,19.4586,Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,0,Shot down by British aircraft crashing in flames.
10/1/1916,23:45,"Waikanae, New Zealand",-40.8833,175.0667,Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11/21/1916,,"Florianpolis, Brazil",-27.5935,-48.5585,Military - German Army,,,Super Zeppelin (airship),,,28,27,0,Crashed in a storm.
11/28/1916,23:45,"Monterrey, Mexico",25.6828,-100.3116,Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
3/4/1917,,"Half Moon Bay, California",37.4589,-122.4369,Military - German Army,,,Airship,,,20,20,0,Caught fire and crashed.
3/30/1917,,"Guadalajara, Mexico",20.6752,-103.3473,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,0,Struck by lightning and crashed into the BaltiSea.
5/14/1917,5:15,"Chicopee Falls, Massachusetts",42.1486,-72.6083,Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
6/14/1917,8:45,"Chita, Russia",52.0384,113.5041,Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,0,Shot down by British aircraft.
8/21/1917,7:00,"Krasnoyarsk, USSR",56.0101,92.8526,Military - German Navy,,,Zeppelin L-23 (airship),,,18,18,0,Shot down by British aircraft.
4/7/1918,21:30,"Junnar, Maharashtra, India",19.2057,73.8694,Military - German Navy,,,Zeppelin L-59 (airship),,,23,23,0,Exploded and crashed into the sea off the southern coast of Italy.
5/10/1918,,"La Carlota, Phillipines",10.4249,122.9223,Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
5/25/1919,,"Manila, Philippines",14.5823,120.9748,US Aerial Mail Service,,,De Havilland DH-4,61,,1,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
7/19/1919,,"Coyhaique, Chile",-45.5667,-72.0667,US Aerial Mail Service,,,De Havilland DH-4,82,,1,1,0,
10/14/1919,,"Cheo Reo, South Vietnam",13.3939,108.4408,US Aerial Mail Service,,,Curtiss R-4LM,32,,1,1,0,
10/20/1919,,"Windhoek, South Africa (Namibia)",-22.5700,17.0836,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,,,,
10/30/1919,,"Chaklala, West Pakistan",33.6000,73.1056,US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,
3/10/1920,,"Dawson, Texas",31.8956,-96.7153,US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,
3/30/1920,,"Bombay, India",18.9750,72.8258,US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,
4/11/1920,,"Dharan, Saudi Arabia",26.2667,50.1500,US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,0,
5/12/1920,,"Lagos, Nigeria",6.4511,3.3884,US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,0,
8/16/1920,,"Dnepropetrovsk, Ukraine, USSR",48.4733,35.0019,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,1,0,
9/1/1920,,"Vagar, Denmark",68.2094,14.4745,US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,
10/5/1920,,"Germiston, South Africa",-26.2178,28.1672,Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,2,0,Crashed while landing.
10/15/1920,,"Huntington, West Virginia",38.4208,-82.4236,US Aerial Mail Service,,,De Havilland DH-4,76,,1,1,0,
11/7/1920,,"Nha Trang, South Vietnam",12.2467,109.1970,US Aerial Mail Service,,,De Havilland DH-4,,178,1,1,0,
12/14/1920,,"Cam Ranh, South Vietnam",11.9088,109.1479,Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8,4,0,Crashed into a tree on take off in fog.
12/24/1920,,"Constanta, Romania",44.1773,28.6529,Aeropostale,,,Breguet 14,F-ALBO,,1,1,0,
2/9/1921,,"Pakse, Laos",15.1167,105.7833,US Aerial Mail Service,,,Junkers F-13,301,,3,3,0,
2/15/1921,,"Berryville, Virginia",39.1526,-77.9819,Aeropostale,,,Breguet 14,F-ALBA,,2,2,0,
2/22/1921,,"Maskeliya, Sri Lanka",6.8333,80.5667,US Aerial Mail Service,,,De Havilland DH-4,67,,1,1,0,
4/6/1921,,"Old Harbors, Alaska",57.1982,-153.3059,Military - Royal Australian Air Force,,,,H3021,,2,1,0,
5/17/1921,,"Nha Trang, Vietnam",12.2467,109.1970,US Aerial Mail Service,,,,176,,1,1,0,
7/16/1921,,"Doncello, Colombia",45.6000,9.4500,US Aerial Mail Service,,,De Havilland DH-4,222,,1,1,0,
8/14/1921,,"Sao Paulo, Brazil",-23.5487,-46.6383,Aeropostale,,,Breguet 14,F-ALBI,,2,2,0,
9/6/1921,,"Quilcene, Washington",47.8270,-122.8782,Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris.
12/5/1921,,"Sardinata, Colombia",8.0833,-72.8000,West Australian Airways,,,Bristol 28 Tourer,G-AUDI,6116,3,3,0,
1/14/1922,,"Lusaka, Zambia",-15.4167,28.2833,Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,5,5,Crashed at Le Bourget field.
4/8/1922,,"Jaen, Peru",-5.7083,-78.8083,,,,,,,17,17,0,All seventeen aboard were Chinese nationals.
4/13/1922,,"Bhojpur, Nepal",27.1667,87.0500,Vickers,,,Vickers Viking,G-EBBZ,,3,3,0,
10/1/1925,,"Kranoyarsk, Russia",56.0101,92.8526,US Aerial Mail Service,,,De Havilland DH-4,385,,1,1,0,
6/3/1922,,"La Paz, Bolivia",-16.5000,-68.1500,Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,1254,3,3,0,
10/25/1922,,"Komatipoot, South Africa",-25.4363,31.9556,Grands Express Aeriens,,,Breguet 14,,,2,2,0,
